x	MP_T2Blank_S3_L002	MP_T2S1_S3_L002	MP_T2S2_S3_L002	MP_T2S3_S3_L002	MP_T2S4_S3_L002	MP_T2S5_S3_L002	MP_T2S6_S3_L002	MP_T2S7_S3_L002	MP_T2S8_S3_L002	MP_T2S9_S3_L002	MP_T2S10_S3_L002	MP_T2S11_S3_L002	MP_T2WC_S3_L002	MP_T2Tiana_S3_L002	MP_T3S1_S3_L002	MP_T3S2_S3_L002	MP_T3S3_S3_L002	MP_T3S4_S3_L002	MP_T3S5_S3_L002	MP_T3S6_S3_L002	MP_T3S7_S3_L002	MP_T3S8_S3_L002	MP_T3S9_S3_L002	MP_T3S10_S3_L002	MP_T3S11_S3_L002	MP_T3WC_S3_L002	MP_T3Tiana_S3_L002	MP_T5Blank_S4_L002	MP_T5S1_S3_L002	MP_T5S2_S3_L002	MP_T5S3_S3_L002	MP_T5S4_S3_L002	MP_T5S5_S3_L002	MP_T5S6_S3_L002	MP_T5S7_S3_L002	MP_T5S8_S3_L002	MP_T5S9_S3_L002	MP_T5S10_S3_L002	MP_T5S11_S3_L002	MP_T5WC_S4_L002	MP_T5Tiana_S4_L002	MP_A_Blank_S4_L002	MP_AC4_S4_L002	MP_AC5_S4_L002	MP_AS1_S4_L002	MP_AS3_S4_L002	MP_AS6_S4_L002	MP_AS9_S4_L002	MP_J_Blank_S4_L002	MP_JC4_S4_L002	MP_JC5_S4_L002	MP_JS1_S4_L002	MP_JS3_S4_L002	MP_JS6_S4_L002	MP_JS9_S4_L002	MP_S_Blank_S4_L002	MP_SC4_S4_L002	MP_SC5_S4_L002	MP_SS1_S4_L002	MP_SS3_S4_L002	MP_SS6_S4_L002	MP_SS9_S4_L002
ASV_217	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1888	0	0	0	0	0	1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_220	0	0	0	0	0	0	519	0	0	0	0	0	2298	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_228	0	0	0	0	0	0	0	0	0	0	3562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_229	0	0	138	0	81	111	71	0	80	152	43	67	83	28	0	0	0	0	57	79	69	141	79	92	127	14	209	0	0	79	165	61	112	124	126	157	149	132	260	0	90	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0
ASV_232	0	0	0	0	0	0	3489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_234	0	1	61	0	33	41	42	0	50	64	1234	32	75	25	6	0	4	31	36	51	30	100	49	75	78	10	116	0	0	53	101	34	81	510	76	89	107	55	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_236	0	0	99	0	48	59	74	0	81	104	40	87	156	26	0	0	0	0	47	96	57	122	72	115	112	15	170	0	0	100	162	65	130	107	123	164	128	101	140	0	129	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0
ASV_238	0	0	0	0	0	0	0	0	0	0	3376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_244	0	0	82	0	0	0	62	6	96	102	0	203	0	37	0	0	0	0	66	71	51	176	0	116	91	12	255	0	0	147	293	48	122	0	0	172	138	99	318	0	102	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0
ASV_245	0	0	0	0	234	845	0	0	0	0	0	0	0	399	1047	0	0	0	383	0	0	0	0	0	7	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	0	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_254	0	0	0	0	0	0	0	0	0	2830	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_271	0	0	2907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_273	0	6	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	10	15	0	0
ASV_275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_283	0	0	0	0	0	0	0	6	102	0	33	0	0	168	0	0	0	12	1986	0	56	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1761	0	0	0	0	0	0	0	0	0	0	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_300	56	191	3	7	2	1	0	30	1	2	3	0	2	0	0	3	155	1	0	3	0	12	0	5	305	7	2	38	246	3	2	5	3	0	0	61	0	0	1	42	0	70	0	8	19	50	17	0	0	64	2	45	41	35	0	63	0	0	0	0	3	3
ASV_302	0	0	48	0	14	43	33	0	48	53	22	26	44	35	0	0	0	0	22	56	22	75	49	78	61	7	90	0	0	80	88	27	63	735	43	71	80	49	113	0	43	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0
ASV_303	0	0	2391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1047	0	0	0	0	0	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_320	0	0	23	0	1480	24	12	0	7	26	21	10	17	13	0	0	0	4	11	19	14	40	22	40	27	0	36	0	0	22	45	14	39	34	27	41	42	26	33	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	0	0	0	0	0	0	2185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_324	0	0	0	0	0	0	76	0	89	0	47	0	0	0	0	0	0	0	1043	0	0	0	65	0	97	11	0	0	0	0	147	0	0	0	0	155	0	112	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0
ASV_328	0	0	0	0	2156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_331	0	0	0	0	0	0	0	0	0	0	2126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_340	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	608	250	0	0	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_343	0	0	69	0	36	56	33	0	67	76	28	0	47	0	0	0	0	0	45	0	0	91	43	79	65	0	119	0	0	55	134	38	104	75	74	116	113	82	103	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0
ASV_345	0	0	0	0	0	0	0	0	0	0	0	0	2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_348	0	0	0	0	146	88	256	0	0	25	76	0	0	130	307	0	0	180	201	38	227	0	91	37	0	0	0	0	0	0	0	160	5	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_357	0	0	73	0	0	53	0	4	0	90	0	0	0	0	0	0	0	0	43	0	0	0	70	140	107	0	169	0	0	0	138	42	85	101	123	148	0	0	106	0	132	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0
ASV_359	0	0	0	0	84	102	239	0	0	31	71	0	0	171	317	0	5	194	176	40	192	0	90	41	0	0	0	0	0	0	0	118	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1889	0	0	0	0	0	0	0	0	0	0	0
ASV_364	0	2	54	0	28	28	42	1	41	65	42	32	72	22	0	3	0	24	41	42	26	78	38	59	71	3	106	0	0	42	77	46	63	73	58	103	86	34	85	0	55	0	0	1	0	0	0	0	0	0	107	0	0	0	0	0	1	0	0	0	0	1
ASV_365	0	0	0	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_386	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742	0	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_398	0	0	51	0	0	34	22	0	42	70	21	38	58	19	0	0	0	0	0	47	0	112	45	61	51	0	122	0	0	41	102	24	76	67	62	99	78	51	86	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0
ASV_399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_409	0	0	47	0	25	32	24	0	31	65	19	30	40	14	0	0	0	2	26	40	27	71	32	44	58	0	109	0	0	203	87	45	39	62	57	72	72	0	74	0	41	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0
ASV_413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_419	0	2	6	2	27	16	56	0	0	15	27	0	0	41	68	0	0	56	34	0	1128	0	23	12	8	0	0	0	0	1	17	22	0	20	8	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_421	0	0	0	0	32	288	156	0	0	13	24	0	0	139	179	0	0	107	134	17	369	0	44	15	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_431	0	0	45	0	31	43	25	0	0	55	18	42	38	12	0	0	0	0	33	40	16	77	30	49	52	0	93	0	0	54	79	12	49	52	65	84	60	42	78	0	43	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0
ASV_432	0	0	50	0	26	29	26	0	46	68	28	41	54	15	1	0	1	29	23	35	36	77	49	59	64	3	78	0	0	46	84	35	57	79	41	82	77	48	72	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_433	0	0	0	0	66	75	294	0	0	0	40	0	0	109	227	0	0	176	136	90	129	3	54	21	0	0	0	0	0	0	0	96	0	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_436	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_439	0	0	63	0	24	0	24	0	68	47	19	36	39	0	0	0	0	0	26	33	22	65	36	46	67	0	89	0	0	52	88	33	63	0	58	74	67	51	74	0	46	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0
ASV_440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_460	0	0	0	0	27	40	111	0	0	14	35	0	0	63	81	0	0	73	67	14	83	0	42	9	6	0	0	0	0	0	0	41	65	0	0	0	85	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_466	0	0	0	0	0	1384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_470	0	0	0	0	25	47	29	0	40	47	16	0	39	22	0	0	0	1	26	0	19	83	40	43	66	6	103	0	0	39	91	19	45	0	44	61	77	49	56	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0
ASV_473	0	0	153	0	87	48	0	0	0	0	0	48	51	0	0	0	0	0	180	0	46	0	47	0	79	0	96	0	0	0	0	0	0	0	78	0	0	60	115	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0
ASV_475	0	0	0	0	93	64	192	0	0	25	37	0	0	140	200	0	0	161	121	0	146	0	57	28	0	0	0	0	0	0	0	94	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_476	0	0	0	0	118	0	176	0	0	36	53	0	0	0	235	0	0	199	117	0	227	0	53	34	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_477	0	0	0	0	122	51	176	0	0	25	56	0	0	128	208	0	0	167	95	0	142	0	58	31	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_485	0	0	44	0	18	35	32	0	0	47	0	32	0	15	0	0	0	0	28	30	0	80	0	57	44	0	86	0	0	47	61	24	44	55	56	70	63	0	116	0	49	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0
ASV_486	0	0	62	0	24	41	39	0	0	0	0	37	88	17	0	0	0	0	38	38	24	88	38	0	41	0	123	0	0	0	76	69	72	0	75	80	69	50	68	0	59	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_487	0	0	232	0	28	30	23	0	54	58	21	42	45	0	0	0	0	0	32	0	0	106	0	0	42	0	103	0	0	0	84	0	0	0	0	77	0	60	0	0	46	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0
ASV_491	0	0	40	0	34	0	18	0	40	79	18	39	29	17	0	0	0	0	26	30	26	88	0	0	45	0	88	0	0	41	79	30	56	0	54	79	50	36	60	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0
ASV_492	0	0	46	0	31	32	22	0	43	59	19	34	43	0	0	0	0	2	24	42	23	65	32	25	37	0	71	0	0	15	76	26	54	22	24	62	63	58	56	0	34	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0
ASV_495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_499	0	0	0	0	69	53	161	0	0	33	30	0	0	100	309	0	0	138	116	26	113	0	0	14	0	5	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_504	0	0	0	0	61	0	165	0	0	22	49	0	0	183	227	0	0	108	118	17	121	0	53	29	0	0	0	0	0	0	0	115	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_506	0	0	0	0	0	0	49	0	0	116	0	0	0	0	0	0	0	0	0	89	0	291	0	0	0	11	0	0	0	90	166	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0
ASV_508	0	0	0	0	91	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	236	0	0	0	333	0	0	0	119	0	0	0	150	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_509	0	0	71	0	0	34	0	0	0	83	0	36	0	0	0	0	0	0	52	52	30	110	0	71	0	0	0	0	0	0	103	0	0	0	83	113	0	55	0	0	64	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0
ASV_516	1	0	0	0	46	52	159	2	0	16	47	0	3	97	153	0	0	130	118	23	118	0	67	35	0	0	0	0	0	0	0	97	3	0	0	0	64	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
